isqno,War,Battle Name,Location,Campaign,Attacker Win,Dry/Wet,High/Low Precipitaton/Sunny/Cloudy,"Temperature (Hot, Cold, Temperate)",Season,Tropical/Desert/Temperate,Attacker 1,Attacker 2,Attacker 3,Attacker 4,Actor 1,Actor 2,Actor 3,Actor 4
1.0,NETHERLAND'S WAR OF INDEPENDENCE,NIEUPORT,SPANISH FLANDERS,NIEUPORT 1600,-1.0,D,S,T,S,T,0.0,1.0,,,Dutch Republic,Spain,,
2.0,THIRTY YEAR'S WAR,WHITE MOUNTAIN,BOHEMIA,BOHEMIA 1620,1.0,D,S,T,W,T,0.0,1.0,,,Bohemia,Holy Roman Empire,,
3.0,THIRTY YEAR'S WAR,WIMPFEN,PALATINATE,PALATINATE 1622,1.0,D,S,H,$,T,1.0,0.0,1.0,,Holy Roman Empire,Protestant Union,Spain,
4.0,THIRTY YEAR'S WAR,DESSAU BRIDGE,ANHALT,DANISH INVASION OF GERMANY 1625-26,-1.0,D,S,T,$,T,0.0,1.0,,,Holy Roman Empire,Protestant Union,,
5.0,THIRTY YEAR'S WAR,LUTTER,BRUNSWICK,DANISH INVASION OF GERMANY 1625-26,1.0,D,S,T,S,T,0.0,1.0,,,Denmark,Holy Roman Empire,,
6.0,THIRTY YEAR'S WAR,BREITENFELD I,SAXONY,LEIPZIG 1631,-1.0,D,S,T,F,T,1.0,0.0,,,Holy Roman Empire,Sweden,,
7.0,THIRTY YEAR'S WAR,THE LECH,BAVARIA,BAVARIA 1632,1.0,D,S,T,$,T,0.0,1.0,,,Holy Roman Empire,Sweden,,
8.0,THIRTY YEAR'S WAR,ALTE VESTE,FRANCONIA,NUREMBERG 1632,-1.0,W,L,T,F,T,0.0,1.0,,,Holy Roman Empire,Sweden,,
9.0,THIRTY YEAR'S WAR,LUETZEN,SAXONY,SAXONY 1632,1.0,D,S,T,F,T,0.0,1.0,,,Holy Roman Empire,Sweden,,
10.0,THIRTY YEAR'S WAR,NORDLINGEN I,BAVARIA,BAVARIA 1634,-1.0,D,S,T,F,T,0.0,0.0,1.0,,Holy Roman Empire,Spain,Sweden,
11.0,THIRTY YEAR'S WAR,WITTSTOCK,BRANDENBURG,E GERMANY 1636,1.0,D,S,T,F,T,0.0,0.0,1.0,,Holy Roman Empire,Saxony,Sweden,
12.0,THIRTY YEAR'S WAR,BREITENFELD II,SAXONY,SAXONY 1642,1.0,D,S,T,F,T,0.0,1.0,,,Holy Roman Empire,Sweden,,
13.0,THIRTY YEAR'S WAR,ROCROI,FRANCE,NE FRANCE 1643,1.0,D,S,T,$,T,1.0,0.0,,,France,Spain,,
14.0,THIRTY YEAR'S WAR,TUTTLINGEN,WUERTTEMBERG,SWABIA 1643,1.0,D,S,T,F,T,0.0,1.0,,,France,Holy Roman Empire,,
15.0,THIRTY YEAR'S WAR,FREIBURG,SWABIA,SWABIA 1644,1.0,D,S,T,S,T,1.0,0.0,,,France,Holy Roman Empire,,
16.0,THIRTY YEAR'S WAR,JANKAU,BOHEMIA,BOHEMIA 1645,-1.0,D,S,T,$,T,1.0,0.0,,,Holy Roman Empire,Sweden,,
