,attacker,attacker,attacker,attacker,actor,actor,actor,actor
count,1,2,3,4,1,2,3,4
isqno,,,,,,,,
1,0,1,,,Dutch Republic,Spain,,
2,0,1,,,Bohemia,Holy Roman Empire,,
3,1,0,1,,Holy Roman Empire,Protestant Union,Spain,
4,0,1,,,Holy Roman Empire,Protestant Union,,
5,0,1,,,Denmark,Holy Roman Empire,,
6,1,0,,,Holy Roman Empire,Sweden,,
7,0,1,,,Holy Roman Empire,Sweden,,
8,0,1,,,Holy Roman Empire,Sweden,,
9,0,1,,,Holy Roman Empire,Sweden,,
10,0,0,1,,Holy Roman Empire,Spain,Sweden,
11,0,0,1,,Holy Roman Empire,Saxony,Sweden,
12,0,1,,,Holy Roman Empire,Sweden,,
13,1,0,,,France,Spain,,
14,0,1,,,France,Holy Roman Empire,,
15,1,0,,,France,Holy Roman Empire,,
16,1,0,,,Holy Roman Empire,Sweden,,
17,0,1,,,France,Holy Roman Empire,,
18,1,0,,,France,Holy Roman Empire,,
19,1,0,,,France,Holy Roman Empire,,
20,0,1,,,Parliamentarian,Royalist,,
21,0,1,,,Royalist,Royalist,,
22,1,0,,,Parliamentarian,Royalist,,
23,0,1,,,Parliamentarian,Royalist,,
24,1,0,,,Parliamentarian,Royalist,,
25,0,1,,,Parliamentarian,Royalist,,
26,1,0,,,English Parliament,Scottish Royalist,,
27,1,0,,,English Parliament,Scottish Royalist,,
28,1,0,,,English Parliament,Scottish Royalist,,
29,0,1,,,Conde Rebels,France,,
30,1,0,,,France,Spain,,
31,0,1,,,Holy Roman Empire,Ottoman Empire,,
32,1,0,,,Holy Roman Empire,Ottoman Empire,,
33,0,1,,,Ottoman Empire,Poland,,
34,1,0,,,France,Holy Roman Empire,,
35,0,1,,,Dutch Republic,France,,
36,1,0,,,France,Holy Roman Empire,,
37,1,0,,,France,Holy Roman Empire,,
38,1,0,,,Prussia,Sweden,,
39,0,1,,,England,English Rebels,,
40,0,1,,,England,Jacobites,,
41,0,1,,,Dutch Republic,France,,
42,0,1,,,Dutch Republic,France,,
43,1,0,,,England,Jacobites,,
44,1,0,,,England,Jacobites,,
45,1,0,,,England,France,,
46,0,1,,,England,France,,
47,1,0,,,France,Savoy,,
48,1,0,,,Holy Roman Empire,Ottoman Empire,,
49,0,1,,,Russia,Sweden,,
50,0,1,0,1,Bavaria,England,France,Holy Roman Empire
51,0,1,0,,Bavaria,England,France,
52,1,0,1,,England,France,Holy Roman Empire,
53,1,0,1,,England,France,Holy Roman Empire,
54,1,0,,,Habsburg Empire,Ottoman Empire,,
55,1,0,,,Habsburg Empire,Prussia,,
56,1,0,,,Habsburg Empire,Prussia,,
57,0,1,,,France,Great Britain,,
58,0,1,,,France,Great Britain,,
59,0,1,,,Habsburg Empire,Prussia,,
60,0,1,,,Habsburg Empire,Prussia,,
61,1,0,,,Prussia,Saxony,,
62,0,1,,,Great Britain,Jacobites,,
63,0,1,,,Great Britain,Jacobites,,
64,0,1,,,Austria,Prussia,,
65,0,1,,,Austria,Prussia,,
66,1,0,,,Bengal,Great Britain,,
67,0,1,,,Austria,Prussia,,
68,1,0,,,France,Great Britain,,
69,1,1,0,,Austria,France,Prussia,
70,0,1,,,Austria,Prussia,,
71,0,1,,,France,Hanover,,
72,1,0,,,Prussia,Russia,,
73,1,0,,,Austria,Prussia,,
74,0,1,,,France,Hanover,,
75,0,1,,,France,Hanover,,
76,1,0,,,Prussia,Russia,,
